"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="3124581156256445322",="3124581156251445322","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","3","8809754820887","null","null","null","交易成功","8809754820887",="2022123022001181571416864440","0.00","0.00","没有申请退款","无退款申请","2022-12-30 13:57:58","2022-12-30 13:58:21"
="3124581156257445322",="3124581156251445322","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","3","8809754820863","null","null","null","交易成功","8809754820863",="2022123022001181571416864440","0.00","0.00","没有申请退款","无退款申请","2022-12-30 13:57:58","2022-12-30 13:58:21"
="3124581156258445322",="3124581156251445322","【赠品专用】SERUMKIND瑟琳凯因德时尚生活搭配字母帆布包","149.00","1","8809754820078","null","null","null","交易成功","8809754820078",="2022123022001181571416864440","0.00","0.00","没有申请退款","无退款申请","2022-12-30 13:57:58","2022-12-30 13:58:21"
="3125108161536704026",="3125108161535704026","SERUMKIND韩国水润收缩毛孔控油金木瓜毛孔精华液30ml","249.00","2","8809525247455","null","null","null","交易成功","8809525247455",="2022123022001139621455408698","334.18","334.18","没有申请退款","无退款申请","2022-12-30 12:21:26","2022-12-30 12:21:44"
="3125108161537704026",="3125108161535704026","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","5","null","null","null","null","交易成功","null",="2022123022001139621455408698","0.00","0.00","没有申请退款","无退款申请","2022-12-30 12:21:26","2022-12-30 12:21:44"
="3125108161538704026",="3125108161535704026","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","3","8809754820856","null","null","null","交易成功","8809754820856",="2022123022001139621455408698","0.00","0.00","没有申请退款","无退款申请","2022-12-30 12:21:26","2022-12-30 12:21:44"
="3125108161539704026",="3125108161535704026","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","3","8809754820887","null","null","null","交易成功","8809754820887",="2022123022001139621455408698","0.00","0.00","没有申请退款","无退款申请","2022-12-30 12:21:26","2022-12-30 12:21:44"
="3125108161540704026",="3125108161535704026","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","3","8809754820863","null","null","null","交易成功","8809754820863",="2022123022001139621455408698","0.00","0.00","没有申请退款","无退款申请","2022-12-30 12:21:26","2022-12-30 12:21:44"
="3125108161541704026",="3125108161535704026","【赠品专用】SERUMKIND瑟琳凯因德时尚生活搭配字母帆布包","149.00","1","8809754820078","null","null","null","交易成功","8809754820078",="2022123022001139621455408698","0.00","0.00","没有申请退款","无退款申请","2022-12-30 12:21:26","2022-12-30 12:21:44"
="3125397423350239805",="3125397423349239805","【年货价】SUREBASE烁贝思韩国无厚重半哑光妆感轻透丝滑粉底液 N1色号 30ml","259.00","1","null","颜色分类：白色;净含量：30ml","null","null","交易成功","null",="2022123022001173701406879653","50.10","50.10","没有申请退款","无退款申请","2022-12-30 10:39:30","2022-12-30 10:39:38"
="3125397423351239805",="3125397423349239805","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","1","null","null","null","null","交易成功","null",="2022123022001173701406879653","0.00","0.00","没有申请退款","无退款申请","2022-12-30 10:39:30","2022-12-30 10:39:38"
="3125397423352239805",="3125397423349239805","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022123022001173701406879653","0.00","0.00","没有申请退款","无退款申请","2022-12-30 10:39:30","2022-12-30 10:39:38"
="1784380623066825377",="1784380623065825377","【年货价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml","169.00","1","8809525248018","净含量：50ml","null","null","交易成功","8809525248018",="2022123022001106831436247184","100.69","100.69","没有申请退款","无退款申请","2022-12-30 10:25:21","2022-12-30 10:25:31"
="1784380623067825377",="1784380623065825377","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","1","null","null","null","null","交易成功","null",="2022123022001106831436247184","0.00","0.00","没有申请退款","无退款申请","2022-12-30 10:25:21","2022-12-30 10:25:31"
="1784380623068825377",="1784380623065825377","【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml","39.00","1","8809754820856","null","null","null","交易成功","8809754820856",="2022123022001106831436247184","0.00","0.00","没有申请退款","无退款申请","2022-12-30 10:25:21","2022-12-30 10:25:31"
="1784380623069825377",="1784380623065825377","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022123022001106831436247184","0.00","0.00","没有申请退款","无退款申请","2022-12-30 10:25:21","2022-12-30 10:25:31"
="1784380623070825377",="1784380623065825377","【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml","49.00","1","8809754820863","null","null","null","交易成功","8809754820863",="2022123022001106831436247184","0.00","0.00","没有申请退款","无退款申请","2022-12-30 10:25:21","2022-12-30 10:25:31"
