主订单编号,支付单号,标题,购买数量,商品属性,订单状态,买家实际支付金额,订单创建时间,订单付款时间
"=""3123702792226653604""","=""2022123022001144961433792788""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,2,,交易成功,0.0,2022-12-30 00:10:38,2022-12-30 00:10:44
"=""3123702792226653604""","=""2022123022001144961433792788""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,2,,交易成功,0.0,2022-12-30 00:10:38,2022-12-30 00:10:44
"=""3123702792226653604""","=""2022123022001144961433792788""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,2,,交易成功,0.0,2022-12-30 00:10:38,2022-12-30 00:10:44
"=""3124982883647496854""","=""2022122922001141701403877044""",SERUMKIND韩国水润滋养全方位修护肌肤壁垒黑郁金香精华液30ml,1,,交易成功,124.5,2022-12-29 23:51:38,2022-12-29 23:51:46
"=""3124982883647496854""","=""2022122922001141701403877044""",【赠品专用】SERUMKIND精华液小样1ml*3,2,,交易成功,0.0,2022-12-29 23:51:38,2022-12-29 23:51:46
"=""3124982883647496854""","=""2022122922001141701403877044""",【赠品专用】SERUMKIND收缩毛孔金木瓜毛孔精华液5ml,1,,交易成功,0.0,2022-12-29 23:51:38,2022-12-29 23:51:46
"=""3124982883647496854""","=""2022122922001141701403877044""",【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml,2,,交易成功,0.0,2022-12-29 23:51:38,2022-12-29 23:51:46
"=""3124982883647496854""","=""2022122922001141701403877044""",【赠品专用】SUREBASE烁贝思粉扑2件装,1,,交易成功,0.0,2022-12-29 23:51:38,2022-12-29 23:51:46
"=""3124982883647496854""","=""2022122922001141701403877044""",【赠品专用】SERUMKIND黑郁金香强化肌肤屏障精华液5ml,1,,交易成功,0.0,2022-12-29 23:51:38,2022-12-29 23:51:46
"=""3124400077865956629""","=""2022122922001157791447232079""",【年货价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml,1,净含量：50ml,交易成功,100.69,2022-12-29 23:46:13,2022-12-29 23:46:20
